,job_id,job_title,company,state,district,location_desc,category,role,min_salary,max_salary,type_salary,date
8372,74431768,Order Processing (6months contractor),Straumann Group Sdn. Bhd.,14,,kuala lumpur,25,Contractor,3000.0,3500.0,monthly,2024-03-13
8373,74287509,Project Engineer (KL & JB),Slg Construction Sdn. Bhd.,10,,selangor,11,project-engineer,3500.0,5000.0,monthly,2024-03-07
8374,74249677,Admin Executive,Hua Su Plastic Industry Sdn. Bhd.,01,,johor,01,administrative-executive,3500.0,4500.0,monthly,2024-03-06
8375,74276116,Personal Assistant Cum Secretary,Private Advertiser,10,10,klang district,01,personal-assistant,5000.0,7000.0,monthly,2024-03-07
8377,74247916,Account Executive,Heng Hup Metal Sdn. Bhd.,10,1007,petaling,00,account-executive,3500.0,5000.0,monthly,2024-03-06
8378,74248776,Internship for Finance students (AP/AR),Boardroom Corporate Services Sdn. Bhd.,10,1007,petaling,00,finance,900.0,1000.0,monthly,2024-03-06
8379,74219158,ACCOUNTS ASSISTANT,Green Aquatic Feed (M) Sdn. Bhd.,08,0807,kinta district,00,accounts-assistant,1800.0,2200.0,monthly,2024-03-05
8380,74251158,Sales Admin Clerk,Ampelite (Malaysia) Sdn. Bhd.,10,10,gombak district,01,administration-clerk,2000.0,2600.0,monthly,2024-03-06
8381,74319822,TAX SENIORS,Te Lim & Co Plt,10,1007,petaling,00,,4000.0,5500.0,monthly,2024-03-08
8383,74323206,Senior Data Analyst,Agensi Pekerjaan Lewis Talent Consulting Sdn. Bhd.,10,1007,petaling,17,data-analyst,5000.0,7000.0,monthly,2024-03-08
8386,74251218,Human Resources Executive,Brecon Synergy Sdn. Bhd.,10,10,sepang,16,human-resource-executive,3000.0,3600.0,monthly,2024-03-06
8387,74250332,Project Director,Hexamine Sdn. Bhd.,15,,labuan,07,project-director,15000.0,20000.0,monthly,2024-03-06
8389,74247940,IT ASSISTANT,5E Resources Sdn. Bhd.,01,,johor bahru district,17,information-technology-assistant,2000.0,3000.0,monthly,2024-03-06
8395,74248671,Account Officer,Mce Technologies Sdn. Bhd.,01,,johor bahru district,00,account-officer,2800.0,3300.0,monthly,2024-03-06
8398,74320893,IT Enterprise Architect,Ambition Group Malaysia Sdn. Bhd.,14,,kuala lumpur,17,enterprise-architect,8110800000.0,9012000000.0,monthly,2024-03-08
8400,74281881,General Clerk,Imec Hygiene Sdn. Bhd.,10,10,kajang/bangi/serdang,01,General-Clerk,1800.0,2700.0,monthly,2024-03-07
8401,74272443,Total Logistics Coordinator,Big Logistics Sdn. Bhd.,10,1007,petaling,20,logistics-coordinator,2500.0,3000.0,monthly,2024-03-07
8402,74275737,Accountant (Costing),Hongrita Precision Component (M) Sdn. Bhd.,07,,penang,00,accountant,4000.0,6000.0,monthly,2024-03-07
8403,74248790,Account Executive,Kh Lim Corporate Consultancy Sdn. Bhd.,14,,kuala lumpur,00,account-executive,3000.0,4500.0,monthly,2024-03-06
8404,74282314,Senior Purchasing Executive,Palaterium Sdn. Bhd.,14,,kuala lumpur,20,purchasing-executive,3500.0,4000.0,monthly,2024-03-07
8407,74250451,Personal Assistant,Finbond Heavy Machinery Sdn. Bhd.,10,10,shah alam/subang,01,personal-assistant,4500.0,6500.0,monthly,2024-03-06
8409,74218989,HUMAN RESOURCES EXECUTIVE,Green Aquatic Feed (M) Sdn. Bhd.,08,0807,kinta district,16,human-resource-executive,3200.0,3300.0,monthly,2024-03-05
8410,74250681,Human Resources Executive,Sri Inderajaya Holdings Sdn. Bhd.,14,14,bangsar,16,human-resource-executive,3500.0,4000.0,monthly,2024-03-06
8413,74273367,Solution Engineer,Fujifilm Business Innovation Asia Pacific Pte Ltd (Malaysia Operations),10,1007,petaling,17,solutions-engineer,4500.0,6500.0,monthly,2024-03-07
8418,74253163,IT Executive,Kayangan Kemas Sdn. Bhd.,10,1007,petaling,17,information-technology-executive,3000.0,4000.0,monthly,2024-03-06
8419,74227847,Admin Clerk,Dce Distribution Sdn. Bhd.,04,,melaka,01,administration-clerk,1800.0,2500.0,monthly,2024-03-05
8420,74248993,Purchasing Executive,Greenoplas Industrial Sdn. Bhd.,10,10,kajang/bangi/serdang,20,purchasing-executive,2900.0,3500.0,monthly,2024-03-06
8421,74251424,System Engineer,Fujitsu (Malaysia) Sdn. Bhd.,10,10,sepang,17,systems-engineer,6000.0,8000.0,monthly,2024-03-06
8422,74230049,Technical Support Executive,Genting Malaysia Berhad,06,0601,bentong district,11,technical-support-executive,3000.0,4500.0,monthly,2024-03-05
8426,74276955,Service Desk Team Leader,Private Advertiser,10,1007,petaling,17,service-desk-team-leader,5000.0,6200.0,monthly,2024-03-07
8427,74250875,HUMAN RESOURCE (HR) MANAGER,Chiang Heng Gold & Diamond S/B,07,,penang,16,human-resource,7000.0,9000.0,monthly,2024-03-06
8428,74267035,Implementer â Accounting System,Q3 Aurelia Sdn. Bhd.,10,1007,petaling,00,Implementator,3500.0,4500.0,monthly,2024-03-07
8429,74191759,Account Executive,Brightstar Stainless Steel Work Sdn. Bhd.,05,,negeri sembilan,00,account-executive,3333.0,5000.0,monthly,2024-03-06
8436,74223253,Dealer Management Executive,Xcmg Capital (M) Sdn. Bhd.,10,1007,petaling,03,management-executive,4000.0,4500.0,monthly,2024-03-05
8437,74279749,GENERAL CLERK,Pharoah Marine Sdn. Bhd.,10,10,klang district,01,General-Clerk,2000.0,3000.0,monthly,2024-03-07
8438,74326693,Assistant Sales Manager - North (FMCG),Agensi Pekerjaan Randstad Sdn Bhd - Professional,07,,penang,25,assistant-sales-manager,24783.0,31542.0,monthly,2024-03-08
8441,74391865,HR & Admin Assistant cum Front Desk,Epg Engineering System Sdn. Bhd.,01,,johor bahru district,01,Human-Resources-Administration-Officer,2000.0,3000.0,monthly,2024-03-12
8443,74253563,Account Cum Admin Assistant,Le Ann International Sdn. Bhd.,10,1007,desa petaling,00,accounts-and-admin-assistant,3500.0,5200.0,monthly,2024-03-06
8444,74270827,Trade Support Specialist,Agensi Pekerjaan Millennium Consultants (M) Sdn. Bhd.,01,,johor bahru district,01,support-specialist,5000.0,6500.0,monthly,2024-03-07
8447,74293494,Purchasing HOD,Tian Ma Bird Nest Sdn. Bhd.,02,0204,kuala muda,20,purchasing-role,4000.0,6000.0,monthly,2024-03-07
8455,74222900,Accounts Receivable Executive,Xcmg Capital (M) Sdn. Bhd.,10,1007,petaling,00,Accounts-Receivable-Executive,3500.0,4000.0,monthly,2024-03-05
8456,74248688,Accounts Executive,Extra Excel (Malaysia) Sdn. Bhd.,10,1007,petaling,00,accounts-executive,3500.0,5000.0,monthly,2024-03-06
8458,74253059,Account Executive,Khy Foods And Beverages Sdn. Bhd.,10,1007,petaling,00,account-executive,2800.0,4000.0,monthly,2024-03-06
8460,74288740,Finance Executive,Agensi Pekerjaan Hays (Malaysia) Sdn. Bhd.,10,10,klang district,00,finance-executive,13518.0,24783.0,monthly,2024-03-07
8461,74247371,Administrative Executive,Tkian Management Sdn. Bhd.,14,,kuala lumpur,01,administrative-executive,3000.0,4500.0,monthly,2024-03-06
8462,74248437,Operations Technician (LCO2),Ace Gases Sdn. Bhd.,11,1104,kemaman,11,operations-technician,1600.0,2300.0,monthly,2024-03-06
8463,74330045,Performance Tester (HP Performance/LoadRunner/Katalon),Agensi Pekerjaan Randstad Sdn Bhd - Professional,14,,kuala lumpur,17,performance-tester,45060.0,81108.0,monthly,2024-03-08
8465,74279485,Fullstack Web Developer,Powtech Solution (M) Sdn.. Bhd.,14,,kuala lumpur,17,full-stack-web-developer,5400.0,8000.0,monthly,2024-03-07
8467,74253448,Senior Finance Executive,United Straits M & E Sdn. Bhd.,10,1007,petaling,00,finance-executive,3500.0,5000.0,monthly,2024-03-06
8469,74291109,Design Engineer/ Senior Design Engineer (2 positions),Reinforced Earth Malaysia Sdn. Bhd.,10,,selangor,11,design-engineer,4000.0,6000.0,monthly,2024-03-07
8472,74322339,Personal Driver,Micron (M) Sdn. Bhd.,10,10,shah alam/subang,01,personal-driver,2300.0,2800.0,monthly,2024-03-08
8475,74311251,Marketing Executive  (Financial Services Industry),Private Advertiser,06,0605,kuantan district,03,marketing-executive,2800.0,3000.0,monthly,2024-03-08
8476,74320894,Software Developer (Javascript),Ambition Group Malaysia Sdn. Bhd.,14,,kuala lumpur,17,software-developer,3604800000.0,4506000000.0,monthly,2024-03-08
8477,74272604,Resident Engineer (RE)/Inspector of Works(IOW) -Mechanical/Electrical,Halcyon Amantara Sdn. Bhd.,10,,selangor,11,Inspector-of-Works,3400.0,5000.0,monthly,2024-03-07
8478,74269416,Service Engineer,Riken Keiki Sdn. Bhd.,06,0602,seberang perai,11,services-engineer,3800.0,4500.0,monthly,2024-03-07
8479,74267575,Recruiter,Agensi Pekerjaan Noven Sdn. Bhd.,01,,johor bahru district,16,recruitment-consultant,2800.0,4000.0,monthly,2024-03-07
8480,74253916,Human Resource cum Admin,The Flash Suites,14,14,bandar menjalara,01,human-resource,2700.0,3000.0,monthly,2024-03-06
8483,74225034,NETWORK ENGINEER,Tmt Solutions Sdn. Bhd.,10,1007,petaling,17,network-engineer,4350.0,6000.0,monthly,2024-03-05
8486,74220625,Assistant Human Resources Manager,Shinsung E&G Malaysia Sdn. Bhd.,10,1007,petaling,16,Assistant-Human-Resources-Manager,5100.0,7000.0,monthly,2024-03-05
8487,74308173,SENIOR FINANCE EXECUTIVE,Hextar Fert Sdn. Bhd.,10,10,klang district,00,finance-executive,4000.0,5500.0,monthly,2024-03-08
8489,74315409,Legal Tech Product Operation,Persolkelly Workforce Solutions Malaysia Sdn. Bhd.,14,,kuala lumpur,17,legal-role,4500.0,5000.0,monthly,2024-03-08
8490,74249742,Account Executive,Primuspac International Sdn. Bhd.,08,0807,kinta district,00,account-executive,2700.0,3000.0,monthly,2024-03-06
8491,74280721,Software Engineer,Technez Sdn. Bhd.,14,,kuala lumpur,17,software-engineer,4700.0,7000.0,monthly,2024-03-07
8493,74292534,External Audit Executives,Wensen Consulting Asia (M) Sdn. Bhd.,10,,selangor,00,audit-executive,3500.0,4500.0,monthly,2024-03-07
8494,74266101,Account Executive,Intraco Hardware (M) Sdn Bhd.,10,1007,petaling,00,account-executive,3500.0,4000.0,monthly,2024-03-07
8496,74219117,Senior HR Admin Manager,Private Advertiser,14,,kuala lumpur,16,Human-Resources-and-Administration-Manager,10500.0,13500.0,monthly,2024-03-05
8497,74247844,Technical Executive,Ergoworks Sdn. Bhd.,10,10,kajang/bangi/serdang,11,technical-executive,2000.0,2500.0,monthly,2024-03-06
8498,73945055,BUSINESS PROCESS IMPROVEMENT EXECUTIVE,Otl Asia Sdn. Bhd.,06,0602,seberang perai,01,Process-Improvement-Executive,5000.0,7500.0,monthly,2024-03-08
8500,74310872,Personal Banker Bancaassurance - Shah Alam,Rhb Banking Group,10,,selangor,03,personal-banker,2600.0,3900.0,monthly,2024-03-08
8502,74311477,Sales Admin Executive (ID: 602532),Agensi Pekerjaan Persolkelly Malaysia Sdn. Bhd.,01,,johor,01,Sales-Administration-Executive,3000.0,3500.0,monthly,2024-03-08
8505,74192701,Office Admin,Monkey Media Productions,14,,kuala lumpur,01,office-administrator,3000.0,4500.0,monthly,2024-03-04
8506,74243656,Junior Account Executive,Rhingle Sdn. Bhd.,14,,kuala lumpur,00,account-executive,3000.0,3500.0,monthly,2024-03-06
8507,74313971,IT ENGINEER (Balik Pulau Campus),Mtt Learning Academy Sdn. Bhd.,07,,penang island,17,information-technology-engineer,3400.0,3600.0,monthly,2024-03-08
8509,74312237,Client Manager,Cll Systems Sdn. Bhd.,14,14,bangsar south,25,client-manager,7000.0,9000.0,monthly,2024-03-08
8510,74311499,Sales Executive,Gigaspeed Technology Sdn. Bhd.,10,1007,petaling,25,sales-executive,5000.0,7000.0,monthly,2024-03-08
8513,74252472,Recruitment Consultant | HR Consultant [Junior | Training provided],Agensi Pekerjaan The Supreme Hr Advisory Sdn. Bhd.,14,,kuala lumpur,16,recruitment-consultant,2800.0,4000.0,monthly,2024-03-06
8515,74250053,Account Executive,Bty Worldwide Sdn. Bhd.,10,,kuala selangor district,00,account-executive,3000.0,4500.0,monthly,2024-03-06
8516,74320537,IT Software Project Manager,Ambition Group Malaysia Sdn. Bhd.,14,,kuala lumpur,17,software-project-manager,6759000000.0,7209600000.0,monthly,2024-03-08
8517,74314789,Treasury Operations Associate : Shaping the Future of Digital Assets,Hata Technologies Sdn. Bhd.,10,10,bukit damansara,03,operations-associate,3200.0,3800.0,monthly,2024-03-08
8518,74315037,Costing - Assistant Manager,Ambition Group Malaysia Sdn. Bhd.,05,0506,seremban district,00,costing-manager,2703600000.0,3830100000.0,monthly,2024-03-08
8520,74277404,Senior Accounting & Admin Executive,Custa Sdn. Bhd.,14,14,kl eco city,00,administrative-executive,5000.0,7500.0,monthly,2024-03-07
8522,74237502,Purchaser,Mtd Industries Sdn. Bhd.,01,,johor bahru district,20,purchaser,2500.0,3000.0,monthly,2024-03-06
8523,74274625,Electronics Software Engineer,Ddman Sdn Bhd - Automotive Solution Provider,07,,penang,11,software-engineer,3400.0,5000.0,monthly,2024-03-07
8524,74238722,IDC FM Engineer,Gds Idc Services (Malaysia) Sdn. Bhd.,01,,johor bahru district,11,engineer,8000.0,12000.0,monthly,2024-03-06
8525,74247533,Tax Associate,Ecovis Malaysia Plt,01,,johor,00,tax-associate,3100.0,4000.0,monthly,2024-03-06
8526,74312594,NodeJS Developer,Misoft Sdn. Bhd.,14,,kuala lumpur,17,node-js-software-developer,5000.0,7500.0,monthly,2024-03-08
8534,74248297,Senior Accounts Executive Cum Administration Officer,Stoned & Co.,10,1007,petaling,00,administration-officer,4500.0,6000.0,monthly,2024-03-06
8535,74250280,Supply Chain Associate,Haritage Brands Sdn. Bhd.,06,0602,seberang perai,20,,2500.0,3000.0,monthly,2024-03-06
8536,74259640,Personal Assistant,Mahkota Orthopaedics Sdn. Bhd.,04,,melaka tengah,01,personal-assistant,2500.0,3500.0,monthly,2024-03-07
8541,74311893,Senior Backend Developer (Urgent),Zync Forte Solution Sdn. Bhd.,14,,kuala lumpur,17,backend-developer,7500.0,10000.0,monthly,2024-03-08
8543,74229169,Operations Admin,Dr Clear Aligners,14,1402,cheras,01,administration,2800.0,3300.0,monthly,2024-03-05
8544,74367137,Receptionist cum Admin Assistant,Brilliant Ltp Builder Sdn.. Bhd.,14,,kuala lumpur,01,administration-officer,2000.0,3000.0,monthly,2024-03-11
8545,74254341,Senior Finance & Accounts Executive,Gfis (M) Sdn. Bhd.,10,10,sepang,00,accounts-executive,4000.0,5000.0,monthly,2024-03-06
8546,74321290,FINANCE & ACCOUNT MANAGER,Asdf Worldwide Sdn. Bhd.,10,1002,hulu langat,00,finance-and-accounts-manager,8000.0,9000.0,monthly,2024-03-08
8547,74253151,Internship for Accounting Students,Yh Tan & Associates Plt,10,1007,petaling,00,accounting,1000.0,1100.0,monthly,2024-03-06
8548,74260457,"Engineer, Test",Microtronics Technology Sdn. Bhd.,01,,johor bahru district,11,engineer,2900.0,4000.0,monthly,2024-03-07
8549,74251169,Broking Representative,Triiio Vertex Sdn. Bhd.,14,14,kl eco city,03,representative_2,3350.0,5000.0,monthly,2024-03-06
8553,74267835,Global Supplier Manager(mechanical),Atotech (Malaysia) Sdn. Bhd.,07,,penang,20,mechanical-manager,10000.0,15000.0,monthly,2024-03-07
8555,74261878,Procurement Executive,Siw Manufacturing Sdn. Bhd.,07,,penang,20,procurement-executive,4000.0,5500.0,monthly,2024-03-07
8556,74264804,Finance Executive,Senga Bina Sdn. Bhd.,01,,johor bahru district,00,finance-executive,3500.0,4500.0,monthly,2024-03-07
8557,74313839,Sales Manager ( Pet Care Channel ),Pwm (Pet World International Sdn Bhd),10,10,shah alam/subang,25,sales-manager,8000.0,10000.0,monthly,2024-03-08
8558,74251125,Network Engineer,Fujitsu (Malaysia) Sdn. Bhd.,10,10,sepang,17,network-engineer,5000.0,7000.0,monthly,2024-03-06
8559,74252663,Project Engineer,Aperia Cloud Services Pte Ltd,14,,kuala lumpur,11,project-engineer,4000.0,5000.0,monthly,2024-03-06
8560,74280252,Financial Consultant,Azfar Advisory,10,1007,petaling,03,financial-consultant,5333.0,8000.0,monthly,2024-03-07
8563,74285263,"Senior Executive, Finance - Accounts & Tax",Central I-City Shopping Centre,10,10,shah alam/subang,00,finance-executive,4500.0,6000.0,monthly,2024-03-07
8564,74249625,Human Resource & Admin Executive,Hallmark Porcelain Sdn. Bhd.,10,10,klang district,16,administrative-executive,3000.0,4000.0,monthly,2024-03-06
8567,74228005,HR Admin Assistant,Private Advertiser,01,,johor,16,Human-Resources-Administration-Officer,2200.0,3000.0,monthly,2024-03-05
8568,74260863,Junior account executive,Gne Hmp Sdn. Bhd.,04,,melaka tengah,00,account-executive,2500.0,3000.0,monthly,2024-03-07
8570,74364406,Operations Executive,Crystal Ocean Services Sdn. Bhd.,12,1207,kota kinabalu district,01,operations-executive,3200.0,3600.0,monthly,2024-03-11
8572,74243245,Intern - Software Engineer,Beans Group Sdn. Bhd.,10,10,shah alam/subang,17,software-engineer,1000.0,1500.0,monthly,2024-03-06
8575,74238133,Technical Support Engineer,Pascal Engineering Sdn. Bhd.,14,,kuala lumpur,11,technical-support-engineer,3000.0,4500.0,monthly,2024-03-06
8577,74258997,Finance Assistant Manager,Linbaq Holding Sdn. Bhd.,01,,johor bahru district,00,assistant-finance-manager,5000.0,7000.0,monthly,2024-03-07
8580,74251351,Account cum HR Assistant,Jai Hee Polymer Sdn. Bhd.,14,14,setapak,00,human-resources-assistant,2000.0,2500.0,monthly,2024-03-06
8584,74235173,Talent Acquisition Specialist / HR Executive,Intco Malaysia Sdn. Bhd.,10,10,klang/port klang,16,talent-acquisition-specialist,4500.0,6500.0,monthly,2024-03-06
8589,74413265,Account Assistant,Private Advertiser,12,1207,kota kinabalu district,00,account-assistant,1800.0,2200.0,monthly,2024-03-13
8590,74237492,Technician,Ss Tfm Sdn. Bhd.,10,1007,petaling,29,technician,1800.0,2200.0,monthly,2024-03-08
8592,74267736,"Executive, Corporate Sales",Oasis Swiss Sdn. Bhd.,10,1007,petaling,25,Executive,3500.0,4500.0,monthly,2024-03-07
8593,74326322,(SENIOR) CYBER SECURITY CONSULTANT & PENETRATION TESTER,Wizlynx Malaysia Sdn. Bhd.,14,,kuala lumpur,17,cyber-security-consultant,6000.0,8000.0,monthly,2024-03-08
8595,74315041,JavaScript Front-End Software Engineer,Triiio Vertex Sdn. Bhd.,10,1007,petaling,17,software-engineer,5000.0,7500.0,monthly,2024-03-08
8598,74433745,Website Programmer,Kickstart Creative Sdn. Bhd.,01,,johor bahru district,17,programmer,4000.0,5000.0,monthly,2024-03-13
8600,73616352,Software QA Engineer,Hytech Consulting Management Sdn. Bhd.,14,,kuala lumpur,17,software-quality-assurance-engineer,6000.0,7500.0,monthly,2024-03-07
8601,74341415,Financial Advisor (Mortgage/Banca/Cards | Intake Mid 2024 | Nationwide) - P7,Agensi Pekerjaan Achieve Career Consultant (M) Sdn Bhd (Jtksm 579),14,,kuala lumpur,03,financial-adviser,3000.0,4500.0,monthly,2024-03-09
8602,74329849,C&S Technical Manager - Construction,Agensi Pekerjaan Randstad Sdn Bhd - Professional,14,,kuala lumpur,11,construction-manager,45060.0,67590.0,monthly,2024-03-08
8603,74248168,Audit Assistants,Kgnp,10,1007,petaling,00,audit-assistant,2300.0,2800.0,monthly,2024-03-06
8604,74265387,"Sales Administration, Executive (Business Imaging Solution)",Canon Marketing (Malaysia) Sdn. Bhd.,10,1007,petaling,01,Sales-Administration-Executive,3600.0,4500.0,monthly,2024-03-07
8606,74242932,Account Officer / Accountant,Image Signs System Sdn. Bhd.,10,,kuala selangor district,00,account-officer,3000.0,4500.0,monthly,2024-03-06
8609,74241428,HR & ADMIN ASSISTANT (Foreign Workers),Dns Security Sdn. Bhd.,10,1007,petaling,01,Human-Resources-Administration-Officer,2600.0,3200.0,monthly,2024-03-06
8611,74351054,Sales Support Engineer (Local and Thai Speaking),Mtsc Technology Sdn. Bhd.,10,,selangor,17,sales-support-engineer,4000.0,6000.0,monthly,2024-03-10
8612,74239922,Sales Coordinator,Fremantle Print Sdn. Bhd.,10,1002,hulu langat,25,sales-coordinator,2800.0,3800.0,monthly,2024-03-06
8613,74266301,Project Manager (Construction),Agensi Pekerjaan Js Staffing Services Sdn. Bhd.,10,10,gombak district,07,construction-project-manager,10000.0,14000.0,monthly,2024-03-07
8614,74310627,Personal Banker Bancaassurance - Klang Valley North,Rhb Banking Group,14,,kuala lumpur,03,personal-banker,2600.0,3900.0,monthly,2024-03-08
8615,74310478,Personal Banker Bancaassurance - Klang Valley South,Rhb Banking Group,14,,kuala lumpur,03,personal-banker,2600.0,3900.0,monthly,2024-03-08
8619,74310890,SITE ENGINEER,Seng Yong Builders Sdn. Bhd.,06,0602,seberang perai,11,site-engineer,4000.0,5000.0,monthly,2024-03-08
8620,74218851,HR Intern (3 to 4 months),Gfk Retail And Technology Malaysia Sdn..Bhd.,14,,kuala lumpur,16,,,1200.0,monthly,2024-03-06
8621,74264454,Manager Finance,Hlmg Management Co Sdn. Bhd.,10,1007,petaling,00,finance-manager,10000.0,12000.0,monthly,2024-03-07
8622,74251503,MRO Procurement Specialist,Alphaess Malaysia Sdn. Bhd.,02,0206,kulim district,20,procurement-specialist,4000.0,6000.0,monthly,2024-03-06
8623,74229919,Front Desk for Pilates Studio Dataran Sunway,All Fit Fitness Sdn. Bhd.,10,1007,petaling,01,,15.0,17.0,hourly,2024-03-05
8624,74244953,Senior Accounts Executive(Senior Executive),Sunway Berhad,10,,selangor,00,accounts-executive,4700.0,5800.0,monthly,2024-03-06
8625,74258552,Clerk,Industrial Hardware Suppy Sdn. Bhd.,10,1007,petaling,01,clerk,1800.0,2400.0,monthly,2024-03-07
8628,74226797,General Clerk,Aps Alternator Sdn. Bhd.,14,14,segambut,00,General-Clerk,2000.0,2300.0,monthly,2024-03-06
8631,74228313,Senior Finance Executive  - ACCA l CPA (Public Listed Company),Agensi Pekerjaan Js Staffing Services Sdn. Bhd.,10,1007,petaling,00,finance-executive,4000.0,6000.0,monthly,2024-03-05
8632,74313037,Backend Developer (Python / PHP),Gigabit Hosting Sdn. Bhd.,14,1402,cheras,17,backend-developer,5500.0,8000.0,monthly,2024-03-08
8633,74311669,æµè¯å²ä½ test position,Pebbles It Solution Sdn. Bhd.,14,14,kuchai lama,01,,4000.0,6000.0,monthly,2024-03-08
8634,74311731,Technician (Electrical/Aircond),Taion Sdn. Bhd.,05,,negeri sembilan,11,electrical-technician,1700.0,2500.0,monthly,2024-03-08
8635,74261170,Senior Purchaser,Private Advertiser,14,,kuala lumpur,07,purchaser,3500.0,5000.0,monthly,2024-03-07
8638,74261337,Internship for Computer/IT Students,Nexible Solutions Sdn. Bhd.,14,,kuala lumpur,17,,500.0,700.0,monthly,2024-03-07
8640,74267936,"Senior Officer, Security System",Private Advertiser,01,,johor bahru district,17,officer,2500.0,2999.0,monthly,2024-03-07
8641,74214019,Admin Assistant,Redwood Furniture Sdn. Bhd.,01,,johor bahru district,01,administration-officer,2000.0,3000.0,monthly,2024-03-05
8642,74247398,Fraud & Risk Specialist (Immediate Joiner),Tdcx,14,,kuala lumpur,03,risk-specialist,3900.0,4200.0,monthly,2024-03-06
8645,74259208,Purchasing Executive,Heng Lee Composite Engineering Sdn. Bhd.,06,0602,seberang perai,20,purchasing-executive,2500.0,3500.0,monthly,2024-03-07
8646,74247972,PROJECT & PROCESS ENGINEER / ASSISTANT,Mce Technologies Sdn. Bhd.,01,,johor,11,engineering-assistant,3800.0,5000.0,monthly,2024-03-06
8647,74212753,Admin Assistant,Think Academy International Education Inc.,10,1007,petaling,01,administration-officer,3800.0,4500.0,monthly,2024-03-05
8649,74263480,"Section Head, Programme Management",Bank Pertanian Malaysia Berhad (Agrobank),14,,kuala lumpur,03,programme-management,10000.0,13000.0,monthly,2024-03-07
8652,74310071,AP Accountant - Penang,Michael Page International (Malaysia) Sdn. Bhd.,07,,penang,00,accounts-payable-accountant,3000.0,4100.0,monthly,2024-03-08
8653,74235780,Network Operation Centre Engineer (NOC),Venturepro (M) Sdn. Bhd.,10,,selangor,17,network-operations-centre-engineer,5000.0,5500.0,monthly,2024-03-06
8654,74220783,Administrative Executive,Engtex Group Berhad,10,,selangor,01,administrative-executive,2800.0,4200.0,monthly,2024-03-05
8655,74252976,Human Resources Executive,Khy Foods And Beverages Sdn. Bhd.,10,1007,petaling,16,human-resource-executive,2800.0,4000.0,monthly,2024-03-06
8657,74341396,Finance Manager,Agensi Pekerjaan Hays (Malaysia) Sdn. Bhd.,10,1007,petaling,00,finance-manager,450600000.0,540720000.0,monthly,2024-03-09
8658,74459897,foreman automotive,Chew Automobile Sdn. Bhd.,06,0602,seberang perai,11,foreperson,1700.0,2200.0,monthly,2024-03-14
8659,74274156,Software Developer,Anbiz Sdn. Bhd.,10,1007,petaling,17,software-developer,4000.0,6000.0,monthly,2024-03-07
8661,74222400,IT Support,Triple Tab Global Solution Sdn. Bhd.,14,14,kl eco city,17,information-technology-support,2000.0,2300.0,monthly,2024-03-05
8662,74223148,Senior Account and Admin Executive,Mount Well Sdn. Bhd.,14,,kuala lumpur,00,Accounts-and-Administration-Executive,4000.0,5500.0,monthly,2024-03-05
8664,74293201,SALES EXECUTIVE,Dynamic Frank Sdn. Bhd.,10,10,klang district,25,sales-executive,4000.0,5000.0,monthly,2024-03-07
8669,74222073,Admin Assistant,Pensonic Holdings Berhad,06,0602,seberang perai,01,administration-officer,2200.0,2400.0,monthly,2024-03-05
8671,74342614,Finance & Accounting Manager (MNC company) - Bayan Lepas - URGENT (ID:582800),Agensi Pekerjaan Persolkelly Malaysia Sdn. Bhd.,07,,penang island,00,accounting-and-finance-manager,7000.0,8000.0,monthly,2024-03-09
8673,74249021,"Software Application Support (Full-time, WFH, Australian-time)",Private Advertiser,14,,kuala lumpur,17,application-support,5000.0,7000.0,monthly,2024-03-07
8674,74261927,ACCOUNTS EXECUTIVE/SENIOR EXECUTIVE,Teeni Enterprise Sdn. Bhd.,10,1007,petaling,00,accounts-executive,3000.0,4500.0,monthly,2024-03-07
8675,74182514,Operations Officer (Portfolio Administration),Third Party Platform Sdn. Bhd.,14,,kuala lumpur,03,operations-officer,3000.0,4500.0,monthly,2024-03-04
8676,74254214,Full-stack Software Developer (Dot Net & Node.js),Beeducation Adventures Sdn. Bhd.,10,1007,petaling,17,full-stack-developer,5000.0,7000.0,monthly,2024-03-06
8678,74236191,Administration & Office Support,Sbn Industries Sdn. Bhd.,01,,johor bahru district,01,administration,2200.0,3200.0,monthly,2024-03-06
8681,74324518,Company Secretary - Senior Manager,Job Personnel Consulting Sdn. Bhd.,14,14,kuala lumpur city centre,04,company-secretary,16000.0,20000.0,monthly,2024-03-08
8682,74249916,Hr Executive,New Edge Safety Door (Hq) Sdn. Bhd.,10,10,klang/port klang,16,human-resource-executive,3000.0,4500.0,monthly,2024-03-06
8684,74228154,Admin Clerk,Tee Sure Sdn. Bhd.,10,1007,petaling,01,administration-clerk,2500.0,3200.0,monthly,2024-03-05
8685,74265137,Audit Associate,Wong Chau Hwa & Co.,10,1007,petaling,00,audit-associate,2800.0,3800.0,monthly,2024-03-07
8686,74327811,Software Engineering Manager,Ambition Group Malaysia Sdn. Bhd.,07,,penang,11,software-engineering-manager,,25000.0,monthly,2024-03-08
8687,74240985,Senior Account Executive,Foreland Property Management Sdn. Bhd.,01,,johor,00,account-executive,3500.0,4800.0,monthly,2024-03-06
8689,74310233,SENIOR ACCOUNT EXECUTIVE,Private Advertiser,10,1002,hulu langat,00,account-executive,3500.0,5000.0,monthly,2024-03-08
8694,74258366,Mortgage Loan Executive,Iplanning Wealth Management,14,,kuala lumpur,03,Mortgage-Loan-Executive,3500.0,5250.0,monthly,2024-03-07
